Dia;Mes;Ano;FullName;TweetText;Link(s);Media;Retweets;Favorites;Followers;Follows;Listed
14;5;2019;Jair M. Bolsonaro;Nossa equipe encontrou indícios de fraudes no recebimento do benefício do seguro-defeso que podem chegar a um prejuízo de R$ 2 BILHÕES/ano. Quase 70% dos cadastros estariam em situação irregular. Com o novo cadastro e garantiremos o destino certo destes recursos.;;pic.twitter.com/v87sjuLyhO;139;697;4207164;348;4378
14;5;2019;Jair M. Bolsonaro;O escoamento de carga por trens até os portos do Paraná cresceu 15% nos 4 primeiros meses do ano comparado com 2018. Entre janeiro e abril, 61 mil vagões movimentaram 3,2 milhões de toneladas, informou a administração dos Portos do PR, e isso vem o ocorrendo cada vez no Brasil.;;;546;4081;4206905;348;4380
13;5;2019;Jair M. Bolsonaro;Ao invés de financiar atos e “estudos científicos” dos mesmos de sempre e ONGs, vamos destinar recursos para buscar solucionar os reais problemas do Brasil. Isso é atuar em prol do meio ambiente e não a favor de uma manipuladora, sombria e esperta agenda. Via @rsallesmma;;https://pbs.twimg.com/media/D6ffj1UX4AA_R7q.jpg;1036;6260;4206136;348;4378
13;5;2019;Jair M. Bolsonaro;Paulo Guedes no Fórum Nacional no BNDES.;http://youtu.be/BTESNpBh5UU;;687;3747;4204620;348;4378
13;5;2019;Jair M. Bolsonaro;Dados oficiais dos estados confirmam queda de 24% dos homicídios no Brasil no primeiro trimestre deste ano em relação ao mesmo período de 2018. “Especialistas” dirão que a queda não tem relação com nossas ações, mas se o número tivesse aumentado, certamente culpariam o governo.;;;1361;6835;4202507;348;4376
13;5;2019;Jair M. Bolsonaro;Governo Federal moderniza as normas de saúde, simplificando, desburocratizando, dando agilidade ao processo de utilização de maquinários, atendimento à população e geração de empregos. Via @MinEconomia . Entenda:;;https://pbs.twimg.com/media/D6cvon6W4AAFmk5.jpg;597;3478;4200899;348;4375
12;5;2019;Jair M. Bolsonaro;O trabalho conjunto com o Ministro @SF_Moro , vem rendendo excelentes expectativas mesmo que o Congresso Nacional ainda não tenha analisado projetos de apelo sociais vitais para o combate à insegurança pública, como o pacote anticrimes e tantos projetos de interesse social.;;pic.twitter.com/F9o4H9VIYu;314;1706;4199613;347;4377
12;5;2019;Jair M. Bolsonaro;🇧🇷👍🏻👉🏻👉🏻;;https://pbs.twimg.com/media/D6aTtnNWsAA8NZN.jpg;766;6860;4199268;347;4376
12;5;2019;Jair M. Bolsonaro;Boa entrevista com @Miltonneves , hoje pela parte da manhã, na rádio Bandeirantes (12/052019). Link no youtube:;http://youtu.be/fNWEZu7sBbI;;319;1935;4197210;338;4377
12;5;2019;Jair M. Bolsonaro;- FELIZ DIA DAS MÃES. - Essa é a minha, 92 aninhos. - Um abraço a todos.;;https://pbs.twimg.com/media/D6YWFaKW0AEIEo9.jpg;335;3245;4195567;338;4375
12;5;2019;Jair M. Bolsonaro;Hoje (12/05/2019), entrarei ao vivo na Rádio Bandeirantes com @Miltonneves às 11:30h.;http://Radiobandeirantes.com.br;;873;4327;4194981;338;4376
12;5;2019;Jair M. Bolsonaro;O Potencial de ecoturismo no Brasil é um dos maiores do mundo. Precisamos de boa infraestrutura ao turista e condições favoráveis ao investimento mediante concessões responsáveis, envolvendo moradores das regiões gerando consciência social, emprego e economia. Via @rsallesmma;;https://pbs.twimg.com/media/D6XXLf2WwAA8B3j.jpg;509;3513;4194463;338;4369
11;5;2019;Jair M. Bolsonaro;A convite do Presidente da CEF falei para seus servidores nesse 10/maio. Muita emoção e um sentimento de brasilidade que está, como regra, nos mais humildes. Link no youtube:;http://youtu.be/f2D7TxWsx7Y;;518;3159;4192265;338;4366
11;5;2019;Jair M. Bolsonaro;Infelizmente, temos que passar grande parte do tempo desmentindo invenções que parte da mídia e a oposição fazem para desestabilizar o atual governo. Todos sabemos que seria assim, há um interesse gigantesco na máquina pública e não é por preocupação com o futuro do país.;;;1435;7635;4190253;338;4372
11;5;2019;Jair M. Bolsonaro;Após medidas de desburocratização internas diárias e a MP da liberdade econômica aceleramos abertura de filiais estrangeiras no Brasil, caindo de 45 para 3 dias (Registro de empresas). Medida busca melhorar o ambiente de negócios para atrair cada vez mais investimentos ao país.;;;929;6482;4188022;338;4367
10;5;2019;Jair M. Bolsonaro;- Seu pai e sua mãe são seus melhores amigos! - Boa noite a todos!;;pic.twitter.com/Oni3TINNyH;1342;8394;4187195;338;4366
10;5;2019;Jair M. Bolsonaro;Inauguração do Centro Integrado de Inteligência de Segurança Pública Sul-Curitiba, com o Ministro @SF_Moro . A intenção é criar um centro de inteligência de polícias em cada região do país. Firmes para que o Congresso aprove o Pacote anti-crimes melhorando a segurança no Brasil!;;pic.twitter.com/6VblGNfCNM;916;4450;4185390;338;4370
10;5;2019;Jair M. Bolsonaro;"Ministro da Educação, Professor @AbrahamWeint , explica a diferença entre ""corte"" e ""contingenciamento"" e desmente as #fakenews sobre o orçamento das faculdades.";;pic.twitter.com/EWMseiGHjW;1641;6094;4184393;338;4370
10;5;2019;Jair M. Bolsonaro;A mentira do corte de 30% nas Universidades.;http://youtu.be/_CcHeZUpYx8;;1959;7157;4183302;338;4366
10;5;2019;Jair M. Bolsonaro;Segundo o @minsaude , cerca de um milhão de queimados são atendidos nas redes hospitalares do país. O uso da pele da tilápia como substituto temporário para a pele humana no tratamento de queimaduras é o tema de uma pesquisa de um médico brasileiro que nos foi apresentado.;;pic.twitter.com/4x5uaMbz6P;512;3451;4182599;338;4364
9;5;2019;Jair M. Bolsonaro;O Brasil condena com veemência a prisão ilegal e arbitrária do vice-presidente da Assembléia Nacional da Venezuela, Edgar Zambrano, aliado do Presidente encarregado @jguaido, bem como a de todos os demais presos políticos pela ditadura de Maduro.;;;1749;9739;4180112;337;4363
9;5;2019;Jair M. Bolsonaro;Live das quintas-feiras com o Presidente Bolsonaro com muitas novidades (09/05/2019). Link da gravação no youtube:;http://youtu.be/k6Z0JYrx95Q;;537;2839;4179417;337;4361
9;5;2019;Jair M. Bolsonaro;Daqui a pouco, às 19:00, nossa live da semana (09/05/2019) no Facebook. Nos vemos lá! 👍🇧🇷;;;526;3155;4178752;337;4357
9;5;2019;Jair M. Bolsonaro;Alcançamos a marca de 1 milhão de alunos atendidos por internet banda larga. Com @Astro_Pontes e o ministro da educação, @AbrahamWeint , participamos de videoconferência com uma das escolas atendidas pelo programa. Vamos expandindo aos rincões do Brasil!;http://youtu.be/1Rhii23egEk;;906;5978;4176994;337;4357
9;5;2019;Jair M. Bolsonaro;O João 38:62 é para SEMPRE. - ASSISTA. - Bom DIA a todos. - Jair Bolsonaro.;http://youtu.be/l53cOAHRnK8;;853;5385;4175830;337;4346
8;5;2019;Jair M. Bolsonaro;Hoje comemoramos a vitória sobre o Nazismo na II Guerra Mundial. Rendo homenagens aos heróis da FEB, aos soldados da borracha e a todos os civis e militares que com sangue e sacrifício prestaram um grande serviço à liberdade. Estes heróis são motivo de orgulho para nossa nação!;;https://pbs.twimg.com/media/D6Fjn7NXsAInk8I.jpg;971;6892;4174368;337;4345
8;5;2019;Jair M. Bolsonaro;Como disse Paulo Guedes, estiveram 16 anos no poder, arruinaram nossa economia e agora querem falar de desemprego e cobrar crescimento em 4 meses de governo, como se não tivessem nenhuma responsabilidade sobre a atual situação do Brasil. Estamos reparando o estrago que fizeram!;;pic.twitter.com/j3pN5sdDeD;3800;15248;4173962;337;4345
8;5;2019;Jair M. Bolsonaro;Após nossa vitória nas eleições, a Fórmula 1, que iria embora do Brasil, decidiu não só permanecer, mas também construir um novo autódromo no RJ, que terá o nome do ídolo Ayrton Senna. Com isso, milhares de empregos serão criados, beneficiando a economia e a população do estado.;;;1501;10243;4172109;336;4346
